team1,team2,venue,city,toss_winner,toss_decision,winner
Barisal Bulls,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Dhaka,Barisal Bulls,bat,Comilla Victorians
Khulna Titans,Chittagong Vikings,"Shere Bangla National Stadium, Mirpur",Dhaka,Khulna Titans,bat,Chittagong Vikings
Dhaka Dynamites,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Dhaka Dynamites,bat,Dhaka Dynamites
Barisal Bulls,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Barisal Bulls
Rangpur Riders,Barisal Bulls,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,bat,Rangpur Riders
Chittagong Vikings,Dhaka Dynamites,"Shere Bangla National Stadium, Mirpur",Dhaka,Dhaka Dynamites,field,Dhaka Dynamites
Chittagong Vikings,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Rajshahi Kings
Comilla Victorians,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Dhaka,Rangpur Riders,field,Comilla Victorians
Dhaka Dynamites,Khulna Titans,"Shere Bangla National Stadium, Mirpur",Dhaka,Khulna Titans,field,Khulna Titans
Chittagong Vikings,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Rajshahi Kings
Dhaka Dynamites,Khulna Titans,"Shere Bangla National Stadium, Mirpur",Dhaka,Khulna Titans,field,Dhaka Dynamites
Khulna Titans,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Khulna Titans,bat,Rajshahi Kings
Dhaka Dynamites,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",Dhaka,Rajshahi Kings,field,Dhaka Dynamites
Japan,China,Sano International Cricket Ground,,China,bat,Japan
Yorkshire,Nottinghamshire,Headingley,Leeds,Yorkshire,bat,Yorkshire
Surrey,Essex,County Ground,Chelmsford,Essex,field,Surrey
Lancashire,Durham,Riverside Ground,Chester-le-Street,Durham,field,Lancashire
Hampshire,Glamorgan,Sophia Gardens,Cardiff,Glamorgan,field,Hampshire
Worcestershire,Warwickshire,"County Ground, New Road",Worcester,Warwickshire,field,Warwickshire
Northamptonshire,Derbyshire,County Ground,Northampton,Derbyshire,field,Derbyshire
Derbyshire,Yorkshire,Queen's Park,Chesterfield,Derbyshire,bat,Derbyshire
Nottinghamshire,Warwickshire,Edgbaston,Birmingham,Warwickshire,field,Warwickshire
Durham,Northamptonshire,Riverside Ground,Chester-le-Street,Northamptonshire,field,Northamptonshire
Glamorgan,Sussex,Arundel Castle Cricket Club Ground,,Sussex,field,Glamorgan
Surrey,Somerset,Kennington Oval,London,Somerset,field,Surrey
Lancashire,Leicestershire,Aigburth,Liverpool,Leicestershire,field,Leicestershire
Essex,Kent,The Kent County Cricket Ground,Beckenham,Essex,bat,Kent
Hampshire,Sussex,County Ground,Hove,Sussex,field,Hampshire
Essex,Somerset,County Ground,Chelmsford,Somerset,field,Essex
Surrey,Middlesex,Lord's,London,Surrey,bat,Middlesex
Kent,Gloucestershire,College Ground,Cheltenham,Gloucestershire,field,Gloucestershire
Hampshire,Middlesex,The Rose Bowl,Southampton,Hampshire,bat,Hampshire
Surrey,Kent,Kennington Oval,London,Kent,field,Kent
Warwickshire,Northamptonshire,Edgbaston,Birmingham,Northamptonshire,field,Northamptonshire
Worcestershire,Leicestershire,"County Ground, New Road",Worcester,Worcestershire,bat,Leicestershire
Leicestershire,Warwickshire,Edgbaston,Birmingham,Warwickshire,field,Leicestershire
Derbyshire,Lancashire,Old Trafford,Manchester,Derbyshire,bat,Lancashire
Essex,Glamorgan,County Ground,Chelmsford,Essex,bat,Glamorgan
Somerset,Middlesex,Uxbridge Cricket Club Ground,,Somerset,bat,Somerset
Gloucestershire,Kent,St Lawrence Ground,Canterbury,Kent,field,Gloucestershire
Worcestershire,Derbyshire,"County Ground, New Road",Worcester,Derbyshire,field,Derbyshire
Surrey,Essex,Kennington Oval,London,Essex,field,Surrey
Middlesex,Kent,Old Deer Park,Richmond,Kent,field,Middlesex
Leicestershire,Durham,Riverside Ground,Chester-le-Street,Durham,field,Leicestershire
Hampshire,Sussex,The Rose Bowl,Southampton,Hampshire,bat,Sussex
Northamptonshire,Leicestershire,Grace Road,Leicester,Leicestershire,field,Northamptonshire
Yorkshire,Warwickshire,Headingley,Leeds,Warwickshire,field,Yorkshire
Surrey,Middlesex,Kennington Oval,London,Surrey,bat,Surrey
Nottinghamshire,Derbyshire,Trent Bridge,Nottingham,Derbyshire,field,Nottinghamshire
Hampshire,Essex,County Ground,Chelmsford,Essex,field,Essex
Northamptonshire,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Nottinghamshire
Yorkshire,Worcestershire,Headingley,Leeds,Worcestershire,field,Yorkshire
Lancashire,Durham,Old Trafford,Manchester,Lancashire,bat,Lancashire
Middlesex,Somerset,The Cooper Associates County Ground,Taunton,Somerset,field,Somerset
Warwickshire,Derbyshire,Edgbaston,Birmingham,Derbyshire,field,Warwickshire
Glamorgan,Gloucestershire,County Ground,Bristol,Gloucestershire,field,Glamorgan
Durham,Nottinghamshire,Riverside Ground,Chester-le-Street,Durham,bat,Nottinghamshire
Yorkshire,Durham,Headingley,Leeds,Yorkshire,bat,Yorkshire
Somerset,Hampshire,The Cooper Associates County Ground,Taunton,Somerset,bat,Somerset
Worcestershire,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Worcestershire
Somerset,Kent,St Lawrence Ground,Canterbury,Somerset,bat,Kent
Middlesex,Essex,Lord's,London,Essex,field,Middlesex
Worcestershire,Northamptonshire,County Ground,Northampton,Northamptonshire,field,Northamptonshire
Leicestershire,Durham,Grace Road,Leicester,Leicestershire,bat,Durham
Gloucestershire,Hampshire,County Ground,Bristol,Hampshire,field,Hampshire
Yorkshire,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Nottinghamshire
Durham,Worcestershire,"County Ground, New Road",Worcester,Worcestershire,field,Worcestershire
Leicestershire,Derbyshire,County Ground,Derby,Derbyshire,field,Derbyshire
Glamorgan,Kent,St Lawrence Ground,Canterbury,Kent,field,Glamorgan
Somerset,Sussex,The Cooper Associates County Ground,Taunton,Sussex,field,Somerset
Lancashire,Warwickshire,Edgbaston,Birmingham,Warwickshire,field,Warwickshire
Warwickshire,Northamptonshire,County Ground,Northampton,Northamptonshire,field,Warwickshire
Kent,Hampshire,The Rose Bowl,Southampton,Kent,bat,Kent
Gloucestershire,Glamorgan,Sophia Gardens,Cardiff,Glamorgan,field,Gloucestershire
Northamptonshire,Lancashire,County Ground,Northampton,Lancashire,field,Northamptonshire
Surrey,Sussex,County Ground,Hove,Surrey,bat,Sussex
Yorkshire,Derbyshire,Headingley,Leeds,Yorkshire,bat,Derbyshire
Middlesex,Hampshire,Lord's,London,Middlesex,bat,Hampshire
Lancashire,Leicestershire,Grace Road,Leicester,Leicestershire,field,Lancashire
Nottinghamshire,Derbyshire,County Ground,Derby,Derbyshire,field,Nottinghamshire
Durham,Yorkshire,Riverside Ground,Chester-le-Street,Durham,bat,Durham
Somerset,Gloucestershire,County Ground,Bristol,Gloucestershire,field,Gloucestershire
Kent,Sussex,St Lawrence Ground,Canterbury,Kent,bat,Sussex
Glamorgan,Surrey,Kennington Oval,London,Glamorgan,bat,Glamorgan
Worcestershire,Warwickshire,Edgbaston,Birmingham,Warwickshire,field,Worcestershire
Hampshire,Essex,The Rose Bowl,Southampton,Essex,field,Essex
Durham,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Nottinghamshire
Northamptonshire,Worcestershire,"County Ground, New Road",Worcester,Worcestershire,field,Northamptonshire
Surrey,Somerset,The Cooper Associates County Ground,Taunton,Surrey,bat,Somerset
Glamorgan,Hampshire,The Rose Bowl,Southampton,Glamorgan,bat,Hampshire
Middlesex,Sussex,Lord's,London,Sussex,field,Middlesex
Kent,Hampshire,St Lawrence Ground,Canterbury,Hampshire,field,Hampshire
Warwickshire,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Nottinghamshire
Durham,Worcestershire,Riverside Ground,Chester-le-Street,Durham,bat,Durham
Essex,Middlesex,County Ground,Chelmsford,Middlesex,field,Essex
Leicestershire,Northamptonshire,County Ground,Northampton,Northamptonshire,field,Leicestershire
Gloucestershire,Sussex,County Ground,Hove,Sussex,field,Sussex
Yorkshire,Lancashire,Headingley,Leeds,Yorkshire,bat,Yorkshire
Somerset,Kent,The Cooper Associates County Ground,Taunton,Kent,field,Kent
Yorkshire,Leicestershire,Grace Road,Leicester,Leicestershire,field,Leicestershire
Nottinghamshire,Worcestershire,"County Ground, New Road",Worcester,Worcestershire,field,Nottinghamshire
Surrey,Sussex,Kennington Oval,London,Surrey,bat,Surrey
Gloucestershire,Essex,County Ground,Bristol,Essex,field,Essex
Durham,Warwickshire,Riverside Ground,Chester-le-Street,Durham,bat,Warwickshire
Glamorgan,Somerset,The Cooper Associates County Ground,Taunton,Somerset,field,Glamorgan
Middlesex,Gloucestershire,Uxbridge Cricket Club Ground,,Gloucestershire,field,Middlesex
Durham,Derbyshire,County Ground,Derby,Durham,bat,Derbyshire
Worcestershire,Lancashire,Old Trafford,Manchester,Lancashire,field,Lancashire
Kent,Essex,County Ground,Chelmsford,Essex,field,Kent
Derbyshire,Leicestershire,Grace Road,Leicester,Leicestershire,field,Leicestershire
Gloucestershire,Surrey,Kennington Oval,London,Gloucestershire,bat,Surrey
Yorkshire,Northamptonshire,Headingley,Leeds,Yorkshire,bat,Yorkshire
Surrey,Kent,St Lawrence Ground,Canterbury,Surrey,bat,Surrey
Sussex,Essex,County Ground,Hove,Essex,field,Sussex
Middlesex,Glamorgan,Sophia Gardens,Cardiff,Glamorgan,field,Glamorgan
Derbyshire,Worcestershire,County Ground,Derby,Worcestershire,field,Derbyshire
Somerset,Hampshire,The Rose Bowl,Southampton,Somerset,bat,Somerset
Lancashire,Warwickshire,Old Trafford,Manchester,Warwickshire,field,Warwickshire
Leicestershire,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Leicestershire
Hampshire,Derbyshire,County Ground,Hove,Derbyshire,field,Hampshire
Leicestershire,Glamorgan,Sophia Gardens,Cardiff,Leicestershire,bat,Glamorgan
Somerset,Nottinghamshire,Trent Bridge,Nottingham,Nottinghamshire,field,Nottinghamshire
Surrey,Warwickshire,Kennington Oval,London,Warwickshire,field,Warwickshire
Warwickshire,Glamorgan,Edgbaston,Birmingham,Glamorgan,field,Warwickshire
Northamptonshire,Warwickshire,"County Ground, Northampton",Northampton,Warwickshire,field,Warwickshire
Nottinghamshire,Worcestershire,"County Ground, New Road, Worcester",Worcester,Worcestershire,field,Worcestershire
Glamorgan,Gloucestershire,"County Ground, Bristol",Bristol,Gloucestershire,field,Glamorgan
Kent,Hampshire,"St Lawrence Ground, Canterbury",Canterbury,Hampshire,field,Hampshire
Lancashire,Leicestershire,"Old Trafford, Manchester",Manchester,Lancashire,bat,Leicestershire
Surrey,Somerset,"County Ground, Taunton",Taunton,Somerset,field,Somerset
Nottinghamshire,Yorkshire,"Trent Bridge, Nottingham",Nottingham,Yorkshire,field,Yorkshire
Northamptonshire,Derbyshire,"County Ground, Derby",Derby,Derbyshire,field,Derbyshire
Essex,Hampshire,"County Ground, Chelmsford",Chelmsford,Hampshire,field,Essex
Glamorgan,Surrey,"Sophia Gardens, Cardiff",Cardiff,Surrey,field,Surrey
Worcestershire,Leicestershire,"Grace Road, Leicester",Leicester,Leicestershire,field,Worcestershire
Middlesex,Gloucestershire,"Lord's, London",London,Middlesex,bat,Gloucestershire
Somerset,Sussex,"County Ground, Hove",Brighton,Sussex,field,Somerset
Durham,Warwickshire,"Edgbaston, Birmingham",Birmingham,Warwickshire,field,Durham
Yorkshire,Lancashire,"Headingley, Leeds",Leeds,Lancashire,field,Yorkshire
Leicestershire,Warwickshire,"Grace Road, Leicester",Leicester,Leicestershire,bat,Leicestershire
Kent,Somerset,"County Ground, Taunton",Taunton,Kent,bat,Somerset
Surrey,Essex,"Kennington Oval, London",London,Surrey,bat,Essex
Sussex,Glamorgan,"County Ground, Hove",Brighton,Sussex,bat,Sussex
Derbyshire,Nottinghamshire,"County Ground, Derby",Derby,Derbyshire,bat,Nottinghamshire
Middlesex,Hampshire,"The Rose Bowl, Southampton",Southampton,Hampshire,field,Middlesex
Durham,Yorkshire,"Headingley, Leeds",Leeds,Durham,bat,Yorkshire
Essex,Gloucestershire,"County Ground, Chelmsford",Chelmsford,Gloucestershire,field,Essex
Leicestershire,Durham,"Roseworth Terrace, Gosforth",Gosforth,Durham,field,Durham
Nottinghamshire,Warwickshire,"Edgbaston, Birmingham",Birmingham,Nottinghamshire,bat,Nottinghamshire
Middlesex,Surrey,"Kennington Oval, London",London,Surrey,field,Surrey
Worcestershire,Yorkshire,"County Ground, New Road, Worcester",Worcester,Yorkshire,field,Worcestershire
Lancashire,Northamptonshire,"Aigburth, Liverpool",Liverpool,Northamptonshire,field,Northamptonshire
Kent,Sussex,"St Lawrence Ground, Canterbury",Canterbury,Sussex,field,Sussex
Somerset,Glamorgan,"Sophia Gardens, Cardiff",Cardiff,Glamorgan,field,Somerset
Lancashire,Warwickshire,"Edgbaston, Birmingham",Birmingham,Warwickshire,field,Lancashire
Yorkshire,Derbyshire,"Headingley, Leeds",Leeds,Derbyshire,field,Yorkshire
Sussex,Surrey,"County Ground, Hove",Brighton,Surrey,field,Sussex
Leicestershire,Nottinghamshire,"Welbeck Colliery Cricket Club Ground, Market Warsop",Market Warsop,Nottinghamshire,field,Nottinghamshire
Kent,Middlesex,"St Lawrence Ground, Canterbury",Canterbury,Middlesex,field,Kent
Glamorgan,Essex,"Sophia Gardens, Cardiff",Cardiff,Glamorgan,bat,Glamorgan
Durham,Northamptonshire,"Riverside Ground, Chester-le-Street",Chester-le-Street,Northamptonshire,field,Durham
Gloucestershire,Hampshire,"The Rose Bowl, Southampton",Southampton,Gloucestershire,bat,Hampshire
Gloucestershire,Kent,"County Ground, Bristol",Bristol,Kent,field,Gloucestershire
Somerset,Hampshire,"County Ground, Taunton",Taunton,Hampshire,field,Hampshire
Yorkshire,Northamptonshire,"County Ground, Northampton",Northampton,Northamptonshire,field,Yorkshire
Warwickshire,Derbyshire,"County Ground, Derby",Derby,Derbyshire,field,Derbyshire
Lancashire,Worcestershire,"Old Trafford, Manchester",Manchester,Lancashire,bat,Lancashire
Essex,Sussex,"County Ground, Chelmsford",Chelmsford,Sussex,field,Essex
Middlesex,Glamorgan,"Radlett Cricket Club, Radlett",Radlett,Middlesex,bat,Middlesex
Nottinghamshire,Durham,"Trent Bridge, Nottingham",Nottingham,Durham,field,Durham
Derbyshire,Lancashire,"Stanley Park, Blackpool",Blackpool,Lancashire,field,Lancashire
Hampshire,Glamorgan,"The Rose Bowl, Southampton",Southampton,Glamorgan,field,Glamorgan
Surrey,Kent,"Kennington Oval, London",London,Kent,field,Surrey
Warwickshire,Worcestershire,"County Ground, New Road, Worcester",Worcester,Worcestershire,field,Worcestershire
Somerset,Gloucestershire,"County Ground, Bristol",Bristol,Somerset,bat,Somerset
Middlesex,Essex,"County Ground, Chelmsford",Chelmsford,Essex,field,Essex
Yorkshire,Warwickshire,"Edgbaston, Birmingham",Birmingham,Yorkshire,bat,Warwickshire
Worcestershire,Durham,"County Ground, New Road, Worcester",Worcester,Durham,field,Worcestershire
Sussex,Gloucestershire,"The Saffrons, Eastbourne",Eastbourne,Gloucestershire,field,Gloucestershire
Hampshire,Surrey,"Kennington Oval, London",London,Hampshire,bat,Surrey
Lancashire,Nottinghamshire,"Trent Bridge, Nottingham",Nottingham,Lancashire,bat,Nottinghamshire
Derbyshire,Leicestershire,"Grace Road, Leicester",Leicester,Leicestershire,field,Leicestershire
Glamorgan,Kent,"St Helen's, Swansea",Swansea,Kent,field,Glamorgan
Essex,Somerset,"County Ground, Taunton",Taunton,Somerset,field,Essex
Derbyshire,Worcestershire,"County Ground, Derby",Derby,Worcestershire,field,Worcestershire
Yorkshire,Leicestershire,"Headingley, Leeds",Leeds,Leicestershire,field,Yorkshire
Lancashire,Durham,"Riverside Ground, Chester-le-Street",Chester-le-Street,Durham,field,Lancashire
Essex,Kent,"St Lawrence Ground, Canterbury",Canterbury,Kent,field,Essex
Nottinghamshire,Somerset,"County Ground, Taunton",Taunton,Somerset,field,Nottinghamshire
Surrey,Yorkshire,"Headingley, Leeds",Leeds,Surrey,bat,Surrey
Essex,Nottinghamshire,"County Ground, Chelmsford",Chelmsford,Essex,bat,Nottinghamshire
Surrey,Worcestershire,"County Ground, New Road, Worcester",Worcester,Surrey,bat,Surrey
Surrey,Nottinghamshire,"Lord's, London",London,Surrey,bat,Nottinghamshire
Yorkshire,Hampshire,"Headingley, Leeds",Leeds,Hampshire,field,Hampshire
Surrey,Warwickshire,"Kennington Oval, London",London,Warwickshire,field,Surrey
Somerset,Essex,"County Ground, Taunton",Taunton,Somerset,bat,Essex
Warwickshire,Yorkshire,"Edgbaston, Birmingham",Birmingham,Yorkshire,field,Yorkshire
Lancashire,Somerset,"Old Trafford, Manchester",Manchester,Somerset,field,Lancashire
Essex,Hampshire,"County Ground, Chelmsford",Chelmsford,Hampshire,field,Essex
Hampshire,Warwickshire,"The Rose Bowl, Southampton",Southampton,Hampshire,bat,Hampshire
Lancashire,Yorkshire,"Headingley, Leeds",Leeds,Lancashire,bat,Yorkshire
Middlesex,Lancashire,"Trafalgar Road Ground, Southport",Southport,Middlesex,bat,Lancashire
Surrey,Essex,"Woodbridge Road, Guildford",Guildford,Essex,field,Essex
Hampshire,Lancashire,"Old Trafford, Manchester",Manchester,Hampshire,bat,Lancashire
Middlesex,Yorkshire,"Lord's, London",London,Middlesex,bat,Middlesex
Essex,Warwickshire,"County Ground, Chelmsford",Chelmsford,Essex,bat,Essex
Middlesex,Essex,"County Ground, Chelmsford",Chelmsford,Middlesex,bat,Essex
Warwickshire,Middlesex,"Edgbaston, Birmingham",Birmingham,Middlesex,field,Middlesex
Somerset,Yorkshire,"North Marine Road Ground, Scarborough",Scarborough,Somerset,bat,Somerset
Yorkshire,Essex,"North Marine Road Ground, Scarborough",Scarborough,Essex,field,Essex
Warwickshire,Middlesex,"Lord's, London",London,Warwickshire,bat,Warwickshire
Warwickshire,Lancashire,"Old Trafford, Manchester",Manchester,Warwickshire,bat,Lancashire
Essex,Somerset,"County Ground, Chelmsford",Chelmsford,Essex,bat,Essex
Somerset,Warwickshire,"Edgbaston, Birmingham",Birmingham,Somerset,bat,Somerset
Warwickshire,Essex,"Edgbaston, Birmingham",Birmingham,Essex,field,Essex
Somerset,Lancashire,"County Ground, Taunton",Taunton,Lancashire,field,Somerset
Warwickshire,Yorkshire,"Headingley, Leeds",Leeds,Warwickshire,bat,Yorkshire
Middlesex,Lancashire,"Lord's, London",London,Middlesex,bat,Middlesex
Hampshire,Essex,"The Rose Bowl, Southampton",Southampton,Essex,field,Essex
Surrey,Lancashire,"Old Trafford, Manchester",Manchester,Lancashire,field,Lancashire
Somerset,Middlesex,"County Ground, Taunton",Taunton,Somerset,bat,Somerset
Essex,Yorkshire,"County Ground, Chelmsford",Chelmsford,Yorkshire,field,Essex
Glamorgan,Northamptonshire,"County Ground, Northampton",Northampton,Glamorgan,bat,Northamptonshire
Kent,Gloucestershire,"St Lawrence Ground, Canterbury",Canterbury,Gloucestershire,field,Kent
Leicestershire,Nottinghamshire,"Grace Road, Leicester",Leicester,Nottinghamshire,field,Nottinghamshire
Kent,Sussex,"County Ground, Hove",Brighton,Kent,bat,Kent
Glamorgan,Worcestershire,"Sophia Gardens, Cardiff",Cardiff,Worcestershire,field,Worcestershire
Derbyshire,Northamptonshire,"County Ground, Derby",Derby,Northamptonshire,field,Northamptonshire
Gloucestershire,Leicestershire,"County Ground, Bristol",Bristol,Leicestershire,field,Gloucestershire
Worcestershire,Northamptonshire,"County Ground, New Road, Worcester",Worcester,Northamptonshire,field,Worcestershire
